Timegroup,DewPoint,destdewpoint,Prediction
2,-6.1,22.8,no
2,5,15,yes
1,-9.4,-7.8,no
2,2.2,17.2,yes
2,-4,16.1,yes
3,1.1,17.8,no
2,1.1,16.7,yes
1,-5,-5,no
3,-10.6,17.2,no
3,-11.1,17.2,yes
1,2.2,17.8,no
2,-11.1,17.2,no
1,-3.9,17.2,no
1,-0.6,17.2,yes
2,-6.7,17.2,yes
3,1.1,-5.6,yes
2,9,-4.4,yes
1,9.4,19.4,no
2,-5.6,16.7,no
1,-6.7,15,yes
3,-11.7,15,no
1,-5,16.1,yes
1,-4.4,15.6,no
2,-1.1,-2,no
3,-10.6,15.6,no
1,-1.7,13.3,no
2,-11.7,15.6,yes
2,-11.1,15.6,yes
2,-9.4,0,no
2,9,6,yes
3,-10.6,13.3,no
2,-13.9,-2,yes
1,-16.1,17.2,no
3,-11.1,13.3,yes
2,-7.2,15,no
2,-6.7,17.8,yes
2,1.1,20,no
2,-3.9,23.9,no
1,-5.6,12.8,no
1,2.2,12.2,no
2,-16.1,11.7,yes
1,-4.4,13.9,no
3,-7.2,15.6,yes
2,-12.2,16.1,yes
2,3.3,2.2,yes
2,-18.9,16.1,no
3,-15.6,23,no
3,-11.1,7.2,yes
2,-10,12.8,no
1,-8.3,12.2,yes
1,3.9,17.8,yes
2,-16.7,21.1,yes
3,-15,10,yes
1,5.6,15.6,no
2,-4,21.1,yes
2,-6.7,20.6,yes
2,0.6,22.2,yes
2,9,28,yes
2,-7.8,16.7,yes
2,-6.7,14.4,yes
2,-10,21.7,yes
2,-11.7,22.2,yes
2,-11.7,16.1,yes
1,-9.4,17.8,yes
2,-13.9,6.7,no
2,-13.9,6.7,no
2,-7.2,20.6,no
2,9,13.3,yes
2,-11.7,21.1,yes
3,-7.2,10,no
1,-5,3.9,no
2,-4.4,21.1,yes
1,-5.6,8.9,no
1,-10.6,16.1,no
2,-2.8,23.9,yes
1,-7.2,12.8,no
2,-3.3,22.2,yes
2,-10,23.3,yes
1,-2.2,7.8,no
2,-4.4,22.2,no
2,-10.6,21.7,yes
2,-13.3,7.2,no
1,0,22.8,no
1,-6.1,3.9,yes
2,-9.4,22.2,yes
2,-11.7,20,no
1,-11.7,3.9,no
2,-11.1,21.7,no
2,-1.7,22.2,yes
2,-8.2,23.3,yes
1,1.7,22.8,yes
2,9.4,22.8,yes
2,-17.8,21.7,yes
1,-9.4,16.1,no
1,-10,15.6,no
2,-11.1,22.2,yes
2,-2.2,17.8,no
2,-5,24.4,no
2,-1.7,21.1,yes
2,-3.9,22.8,no
2,-7.2,23.9,no
2,-8.3,22.8,yes
1,-5.6,8.9,no
2,-7.2,23.3,yes
1,0,18.9,yes
1,5,22.2,no
2,-7.2,19.4,no
2,-11.7,18.9,no
2,-11.7,19.4,yes
2,12.2,6.7,no
1,-4.4,23.9,no
2,0,18.3,no
2,-4.4,21.1,yes
1,0.6,22.2,no
2,4.4,22.2,yes
2,-5.6,22.2,yes
1,-3.9,21.7,no
2,-8.3,1.7,yes
2,-6.1,22.2,yes
2,-12.8,23.9,no
2,-2.2,21.7,no
2,-2.2,21.7,yes
1,4.4,22.8,no
1,8,22.2,no
2,1.7,18.9,yes
2,-5.6,23.3,yes
1,5.6,24.4,no
1,5.6,21.7,no
2,-12.2,21.1,yes
2,-12.2,21.1,yes
1,9.4,22.2,yes
2,-1.1,22.2,yes
2,-1.1,22.2,yes
1,-5.6,22.2,yes
2,-17.2,15,yes
2,-16.7,20,yes
1,-13.9,23.3,no
2,-12.8,23.9,yes
2,-10,7.2,no
1,-8.9,23.9,yes
2,5.6,23.3,yes
1,-1.7,23.3,no
2,3.3,23.3,yes
1,-8.3,22.2,yes
3,-10.6,7.8,yes
1,2.2,13.3,no
1,1.1,23.9,yes
1,1.1,23.9,yes
1,-4.4,13.9,no
2,-5,24.4,yes
1,10.6,23.3,no
1,-9.4,23.9,no
1,-5.6,18.9,no
2,-6.1,11.1,yes
2,-11.1,7.8,yes
2,-11.1,7.8,yes
2,-11.1,7.8,yes
2,9,24.4,yes
1,0.6,17.8,no
1,5.6,11.7,no
3,-12.2,7.8,yes
2,1.7,23.9,yes
2,-8.9,13.9,no
1,1.7,22.2,no
1,-8.3,23.3,no
2,-6.7,24.4,no
2,5,12.8,yes
2,-6.1,22.8,no
2,5,25,yes
2,-7.2,18.9,yes
1,-2.8,5,no
1,-6.1,21.7,no
2,-15.6,16.1,yes
1,-5,10.6,no
2,-7.2,21.7,yes
2,-7.2,21.7,yes
2,5.6,23.9,no
1,-2.8,13.9,no
1,10.6,13.9,no
1,0.6,17.2,yes
1,-5,10.6,no
1,-1.7,6.1,no
2,-7.2,21.1,yes
1,1.7,22.8,no
1,-15.6,20.6,no
2,-10,6.7,yes
2,-4.4,15.6,yes
2,-6.1,17.8,yes
2,-6.7,19.4,yes
1,7,20,no
2,-6.1,6.1,yes
2,-7.8,6.7,no
1,-16.1,12.8,yes
1,-1.7,6.1,no
2,3.3,19.4,yes
3,-8.9,7.2,yes
1,-10.6,2.2,no
1,-8.3,10,no
2,-12.2,6.7,yes
3,-1.7,6.7,no
2,-5.6,11.1,no
1,-5.6,1.7,yes
1,5,1.7,no
1,-2.8,4.4,no
1,-2.2,-2.2,no
1,-21.1,-0.6,no
2,-3.9,16.1,no
2,-13.3,3.9,no
3,-13.9,3.9,yes
2,-10,8.9,yes
2,-3.3,6.7,no
2,-12.2,0.6,no
2,-12.8,3.9,yes
1,6.7,11.7,no
2,-1.8,-0.6,no
2,-4.4,15.6,yes
1,1.7,18.3,no
1,-3.3,3.9,no
3,-13.9,4.4,no
2,-12.2,13.3,no
1,-8.9,14.4,no
2,-5,17.8,no
2,3.9,7.2,yes
2,-5.6,6.1,no
2,-7.2,15.6,no
1,-13.9,12.2,no
2,-10.6,-1.7,no
1,-11.7,15.6,yes
1,-3.9,2.2,no
1,-8.3,18.3,no
1,-11.7,3.3,yes
2,-10,8.9,no
1,-9.4,7.8,no
1,-12.2,5,no
2,-11.1,5.6,no
1,-10.6,5,no
1,-11.7,4.4,no
2,-2.2,5.6,yes
1,-10.6,4.4,yes
2,-11.7,4.4,no
